supplier_id,supplier_name,country,region,risk_score,risk_category
SUP-000049,Aguirre PLC,Mexico,Middle East,0.0,
SUP-000050,Jones-Simpson,Jersey,Middle East,10.0,Low
SUP-000051,Jones PLC,Albania,Middle East,1.2,Low
SUP-000052,Gross-Reid,Senegal,Middle East,0.1,Low
SUP-000053,"Rogers, Carr and Davis",Iceland,Africa,2.8,Low
SUP-000054,Jones-Buchanan,Morocco,Americas,92.8,High
SUP-000055,"Tanner, Lawrence and Marshall",San Marino,Asia,0.1,Low
SUP-000056,Thompson-Chen,Isle of Man,Middle East,25.3,Low
SUP-000057,King Group,Macao,Europe,14.9,Low
SUP-000058,Smith and Sons,Bahrain,Middle East,0.0,
SUP-000059,Lara-Taylor,South Africa,Europe,31.9,Low
SUP-000060,Rocha-Massey,Japan,Europe,0.3,Low
SUP-000061,Warren Ltd,Palau,Middle East,2.0,Low
SUP-000062,Edwards-Rodriguez,Cocos (Keeling) Islands,Africa,8.6,Low
SUP-000063,"Hampton, Mcdonald and Price",Tokelau,Europe,0.0,
SUP-000064,"Crawford, Stanley and Warner",Lesotho,Europe,0.0,
SUP-000065,Martinez-Hernandez,Estonia,Middle East,1.3,Low
SUP-000066,Peters Ltd,Cameroon,Europe,1.4,Low
SUP-000067,"Bauer, Dunn and Hampton",Greenland,Europe,0.1,Low
SUP-000068,Cummings Group,Botswana,Middle East,0.1,Low
SUP-000069,"Hudson, Williams and Parker",Kuwait,Middle East,95.8,High
SUP-000070,Krueger Ltd,Namibia,Asia,2.3,Low
SUP-000071,Fernandez PLC,Antarctica (the territory South of 60 deg S),Africa,10.6,Low
SUP-000072,"Collins, Moore and Coffey",Guinea,Africa,0.1,Low
SUP-000073,Daniel LLC,Saint Kitts and Nevis,Europe,5.8,Low
SUP-000074,"Spencer, Rogers and Gill",Albania,Africa,4.0,Low
SUP-000075,Glover-Crosby,Marshall Islands,Europe,14.8,Low
SUP-000076,Reed-Koch,Paraguay,Asia,0.1,Low
SUP-000077,"Tanner, Sherman and Bolton",Netherlands,Middle East,0.1,Low
SUP-000078,"Haynes, Taylor and Lopez",Pitcairn Islands,Middle East,0.1,Low
SUP-000079,Wheeler-Myers,Croatia,Middle East,12.2,Low
SUP-000080,"Ellis, Garcia and Smith",Hong Kong,Africa,2.6,Low
SUP-000081,"Klein, Gardner and Wagner",Nauru,Asia,4.4,Low
SUP-000082,"Thomas, Gray and Sanford",New Caledonia,Africa,64.2,Medium
SUP-000083,"Patrick, Norris and Harrell",Egypt,Africa,98.9,High
SUP-000084,"Kennedy, Tucker and Reyes",Samoa,Asia,0.3,Low
SUP-000085,Mathis-Navarro,Ireland,Asia,99.9,High
SUP-000086,Roberts-Williams,Afghanistan,Asia,7.4,Low
SUP-000087,"Kirby, Snyder and Hamilton",China,Asia,1.6,Low
SUP-000088,"Dean, Thompson and Hoffman",Cayman Islands,Middle East,0.0,
SUP-000089,Smith Ltd,Hungary,Americas,0.0,
SUP-000090,Duncan Inc,Tuvalu,Americas,0.1,Low
SUP-000091,Flores Group,Gibraltar,Asia,2.9,Low
SUP-000092,"Phillips, Trujillo and Keller",Israel,Americas,0.8,Low
SUP-000093,Nguyen Inc,Cameroon,Americas,21.5,Low
SUP-000094,"Rodriguez, Schwartz and Lee",American Samoa,Asia,0.1,Low
SUP-000095,Smith Inc,Canada,Americas,0.1,Low
SUP-000096,"Dillon, Hardy and Schultz",Niue,Africa,0.1,Low
SUP-000097,Stone Ltd,Timor-Leste,Europe,44.3,Medium
SUP-000098,Smith and Sons,Georgia,Europe,99.6,High
SUP-000099,Andrews PLC,Luxembourg,Asia,0.4,Low
SUP-000100,"Hansen, Cobb and Moran",Cote d'Ivoire,Middle East,10.4,Low
SUP-000101,Ramos Inc,Zambia,Asia,4.0,Low
SUP-000102,Evans and Sons,Burundi,Middle East,55.7,Medium
SUP-000103,Nguyen-Meyer,Lao People's Democratic Republic,Europe,6.4,Low
SUP-000104,"Dillon, Mueller and Moore",French Polynesia,Asia,8.8,Low
SUP-000105,Brown LLC,South Africa,Africa,10.9,Low
SUP-000106,Barr-Adams,Tanzania,Americas,1.9,Low
SUP-000107,"Estrada, Montoya and Frazier",Morocco,Middle East,0.0,
SUP-000108,Odonnell Inc,Honduras,Americas,0.0,
SUP-000109,Davies Ltd,Guernsey,Americas,1.8,Low
SUP-000110,"Davis, Buck and Fletcher",Puerto Rico,Asia,77.3,High
SUP-000111,Carpenter Group,Saint Lucia,Americas,0.0,
SUP-000112,Moore-Hendrix,Burkina Faso,Africa,99.9,High
SUP-000113,Mitchell Ltd,Svalbard & Jan Mayen Islands,Americas,1.2,Low
SUP-000114,"Martinez, Bowen and Lee",Tajikistan,Asia,0.0,
SUP-000115,Flores-King,Indonesia,Africa,3.4,Low
SUP-000116,"Wood, Buchanan and Adams",Ghana,Europe,2.5,Low
SUP-000117,Cook-Thomas,Guadeloupe,Americas,38.7,Medium
SUP-000118,Stone-Cruz,Paraguay,Asia,6.2,Low
SUP-000119,"Dalton, Fisher and White",Tokelau,Europe,1.9,Low
SUP-000120,"Harvey, Morton and Warren",South Africa,Europe,0.7,Low
SUP-000121,"Hughes, Kirk and Cruz",Namibia,Middle East,0.1,Low
SUP-000122,Carpenter Ltd,Gibraltar,Africa,1.6,Low
SUP-000123,"Holt, Martin and Jordan",Switzerland,Americas,0.0,
SUP-000124,"Nguyen, Pearson and Johnson",Christmas Island,Asia,0.3,Low
SUP-000125,Hanson Group,Spain,Middle East,63.3,Medium
SUP-000126,Lee-Parker,Slovakia (Slovak Republic),Africa,0.1,Low
SUP-000127,Hoover-Walsh,Monaco,Middle East,0.0,
SUP-000128,Vasquez LLC,Greece,Africa,0.2,Low
SUP-000129,Mosley and Sons,Congo,Africa,3.3,Low
SUP-000130,Christensen-Green,Cameroon,Americas,5.1,Low
SUP-000131,Ho-Price,Slovakia (Slovak Republic),Africa,99.0,High
SUP-000132,Martinez-Garrett,Gambia,Middle East,0.0,
SUP-000133,Sexton Inc,Saint Helena,Africa,0.1,Low
SUP-000134,"Vaughn, Harper and Chang",Syrian Arab Republic,Americas,0.5,Low
SUP-000135,"Lowery, Jones and Andrews",Brazil,Americas,16.0,Low
SUP-000136,Hunt-Norton,Japan,Middle East,5.9,Low
SUP-000137,"Davis, Garcia and Walsh",Liechtenstein,Europe,0.0,
SUP-000138,Anderson Inc,Christmas Island,Europe,20.8,Low
SUP-000139,Johnson-Harper,Liberia,Africa,4.7,Low
SUP-000140,"Kelly, Hendrix and Sellers",Cape Verde,Asia,75.8,High
SUP-000141,Walters Group,Mongolia,Africa,7.0,Low
SUP-000142,Ingram-Peck,Gabon,Middle East,4.8,Low
SUP-000143,"Bates, Vasquez and Moody",Bulgaria,Middle East,0.0,
SUP-000144,Williams Group,Gabon,Middle East,0.0,
SUP-000145,Hart-Hudson,Iraq,Middle East,88.1,High
SUP-000146,"Green, Smith and Sanders",Argentina,Middle East,0.1,Low
SUP-000147,"Gonzalez, Campbell and Lyons",Burundi,Americas,0.0,
SUP-000148,Baker-Jones,Cyprus,Europe,34.8,Medium
SUP-000149,"Wang, Brennan and Smith",Equatorial Guinea,Middle East,0.0,
SUP-000150,"Montoya, Lopez and George",Maldives,Asia,1.2,Low
SUP-000151,"Roberts, Williams and Martin",United States of America,Asia,53.8,Medium
SUP-000152,Reyes LLC,Eritrea,Asia,0.6,Low
SUP-000153,"Massey, Strickland and Gross",Uruguay,Asia,0.1,Low
SUP-000154,"Mcconnell, Brown and Williams",Afghanistan,Americas,2.2,Low
SUP-000155,Phillips-Murphy,Uganda,Asia,78.2,High
SUP-000156,Sanchez-Salazar,Cocos (Keeling) Islands,Middle East,0.0,
SUP-000157,"Johnson, Owens and Willis",American Samoa,Africa,4.6,Low
SUP-000158,Aguilar Inc,Thailand,Asia,1.5,Low
SUP-000159,"Johnson, Patrick and Hunt",Korea,Americas,0.0,
SUP-000160,"Strong, Powell and Garza",United Kingdom,Americas,58.5,Medium
SUP-000161,"Hansen, Rosales and Brooks",Zimbabwe,Asia,76.7,High
SUP-000162,Benton-Kennedy,Sao Tome and Principe,Africa,72.5,High
SUP-000163,"Jones, Torres and Heath",Guam,Asia,99.5,High
SUP-000164,"Martinez, Johnston and Oconnor",Kyrgyz Republic,Americas,0.0,
SUP-000165,"Walters, Hill and Conrad",Seychelles,Europe,0.0,
SUP-000166,Gonzalez Group,Egypt,Middle East,0.0,
SUP-000167,Garcia-Yu,India,Americas,1.5,Low
SUP-000168,Anthony Ltd,North Macedonia,Asia,1.0,Low
SUP-000169,"Knight, Velez and Larson",Falkland Islands (Malvinas),Middle East,0.3,Low
SUP-000170,"Mayer, Thompson and Clay",Svalbard & Jan Mayen Islands,Asia,90.9,High
SUP-000171,Cummings and Sons,Western Sahara,Asia,0.1,Low
SUP-000172,Summers-Pacheco,French Polynesia,Europe,0.0,
SUP-000173,"Stanley, Salas and Wright",Norway,Middle East,99.3,High
SUP-000174,"Richardson, Wilkinson and Fields",Belgium,Middle East,27.9,Low
SUP-000175,"Scott, Turner and Moss",Estonia,Europe,99.1,High
SUP-000176,"Bell, Harrison and Rogers",Australia,Americas,0.2,Low
SUP-000177,Torres LLC,Malaysia,Asia,0.2,Low
SUP-000178,Larsen-Patterson,Bolivia,Africa,1.6,Low
SUP-000179,Jennings-Stevenson,United States Virgin Islands,Asia,3.4,Low
SUP-000180,Jones-Merritt,Jordan,Asia,48.9,Medium
SUP-000181,Carpenter-Chavez,Uganda,Americas,68.6,High
SUP-000182,"Graves, Mills and Cooper",Bahrain,Asia,5.1,Low
SUP-000183,"Waters, Hull and Bailey",Mali,Europe,8.6,Low
SUP-000184,Jones and Sons,Kyrgyz Republic,Europe,3.8,Low
SUP-000185,"Mckay, Harris and Fuentes",Italy,Middle East,6.0,Low
SUP-000186,Mendez and Sons,Iraq,Africa,17.3,Low
SUP-000187,Torres-Murray,United Kingdom,Asia,20.3,Low
SUP-000188,"Pierce, Barton and Lewis",Gambia,Asia,0.0,
SUP-000189,"Curtis, Hall and Thomas",Malaysia,Americas,99.6,High
SUP-000190,Gomez Group,Dominican Republic,Europe,0.0,
SUP-000191,Lopez-Ellis,Italy,Africa,99.4,High
SUP-000192,Wiggins-Price,Lao People's Democratic Republic,Middle East,4.4,Low
SUP-000193,Hensley-Bishop,Uzbekistan,Europe,2.7,Low
SUP-000194,Schmidt Group,Russian Federation,Middle East,0.1,Low
SUP-000195,Blankenship PLC,Ireland,Americas,8.2,Low
SUP-000196,"Wilkinson, Eaton and Johnson",Togo,Americas,7.9,Low
SUP-000197,Pitts-Johnson,Sao Tome and Principe,Asia,0.1,Low
SUP-000198,Kane-Lloyd,South Africa,Africa,1.7,Low
SUP-000199,Fowler LLC,Cocos (Keeling) Islands,Middle East,0.0,
SUP-000200,Adams Inc,British Virgin Islands,Europe,83.7,High
SUP-000201,Finley and Sons,Spain,Americas,41.4,Medium
SUP-000202,"Gonzalez, Dean and Diaz",Palestinian Territory,Asia,0.0,
SUP-000203,Jones-Cook,Isle of Man,Asia,0.1,Low
SUP-000204,Jackson Group,Pitcairn Islands,Middle East,0.0,
SUP-000205,Hendricks Inc,Slovakia (Slovak Republic),Americas,97.8,High
SUP-000206,Hawkins Inc,British Virgin Islands,Africa,0.3,Low
SUP-000207,Lowe-Nguyen,Maldives,Americas,0.7,Low
SUP-000208,Robinson Inc,Gambia,Middle East,4.3,Low
SUP-000209,"Glover, Mckinney and Peterson",Bermuda,Middle East,0.4,Low
SUP-000210,Ward Ltd,Lao People's Democratic Republic,Americas,0.2,Low
SUP-000211,"Hamilton, Rogers and Harris",Timor-Leste,Middle East,3.1,Low
SUP-000212,Hines PLC,Martinique,Americas,4.2,Low
SUP-000213,Cook PLC,Panama,Europe,79.3,High
SUP-000214,Munoz-Jenkins,Armenia,Americas,0.0,
SUP-000215,"Mccormick, Robinson and Cole",Niger,Americas,5.5,Low
SUP-000216,Thompson Inc,Bangladesh,Middle East,0.1,Low
SUP-000217,Porter-Church,Greece,Middle East,5.3,Low
SUP-000218,Washington Ltd,Slovenia,Asia,7.3,Low
SUP-000219,"Johnson, Jones and Holland",Holy See (Vatican City State),Asia,0.1,Low
SUP-000220,Perry Group,Namibia,Europe,0.1,Low
SUP-000221,Bishop-Jones,Niger,Asia,2.0,Low
SUP-000222,"Douglas, Guerrero and Harper",Samoa,Americas,29.9,Low
SUP-000223,Garza PLC,Bhutan,Middle East,0.1,Low
SUP-000224,Moyer Ltd,Mauritania,Asia,70.4,High
SUP-000225,Brown-Gonzales,Samoa,Asia,0.0,
SUP-000226,Ryan Group,Myanmar,Europe,1.3,Low
SUP-000227,"Jones, Mcconnell and Parsons",Singapore,Europe,0.0,
SUP-000228,King and Sons,Holy See (Vatican City State),Americas,0.7,Low
SUP-000229,Burton Ltd,Antarctica (the territory South of 60 deg S),Middle East,23.5,Low
SUP-000230,Klein and Sons,Palestinian Territory,Europe,0.1,Low
SUP-000231,Soto-Gonzalez,Oman,Asia,22.7,Low
SUP-000232,Turner Ltd,Slovenia,Middle East,0.0,
SUP-000233,Sanford Ltd,Bosnia and Herzegovina,Middle East,99.6,High
SUP-000234,"Nelson, Warren and Perkins",Uzbekistan,Asia,16.2,Low
SUP-000235,Smith-Leonard,Taiwan,Europe,0.0,
SUP-000236,"Jones, Davis and Pena",Cayman Islands,Asia,0.0,
SUP-000237,Williams-Ford,Sri Lanka,Middle East,0.1,Low
SUP-000238,Anthony-Wilson,Central African Republic,Africa,0.3,Low
SUP-000239,"Payne, Garrett and Mendoza",American Samoa,Africa,0.0,
SUP-000240,Hudson LLC,Libyan Arab Jamahiriya,Americas,0.5,Low
SUP-000241,Mendoza-Perry,Mongolia,Asia,0.0,
SUP-000242,Edwards-Bridges,Bahamas,Asia,0.0,
SUP-000243,Evans Inc,Seychelles,Americas,0.0,
SUP-000244,Lee and Sons,Tuvalu,Americas,47.3,Medium
SUP-000245,"Daniels, Orozco and Delgado",Seychelles,Americas,18.5,Low
SUP-000246,Garrett-Jones,Tanzania,Middle East,0.0,
SUP-000247,Mejia-Adams,Israel,Asia,8.6,Low
SUP-000248,Stevens Group,Morocco,Middle East,0.2,Low
SUP-000249,Knox Inc,Cuba,Americas,0.0,
SUP-000250,Wilkerson LLC,Antarctica (the territory South of 60 deg S),Asia,0.2,Low
SUP-000251,"Mejia, Green and Winters",Hong Kong,Middle East,0.2,Low
SUP-000252,Wolf-Brooks,Jersey,Middle East,0.3,Low
SUP-000253,Burgess-Gentry,Senegal,Americas,99.1,High
SUP-000254,Keller-Clark,Gabon,Asia,0.1,Low
SUP-000255,Doyle and Sons,Belarus,Americas,69.3,High
SUP-000256,"Ray, Hess and Fletcher",Niue,Asia,99.3,High
SUP-000257,Gonzalez Ltd,Christmas Island,Africa,0.0,
SUP-000258,Davis-Gallagher,Turkmenistan,Europe,0.0,
SUP-000259,Rice Group,Bermuda,Europe,5.5,Low
SUP-000260,Hall-Mcbride,Grenada,Europe,1.6,Low
SUP-000261,"Miller, Vasquez and Alexander",India,Americas,0.0,
SUP-000262,Peterson-Sanchez,Thailand,Africa,0.4,Low
SUP-000263,Flores-Burton,Tajikistan,Asia,3.9,Low
SUP-000264,Lowery-Green,Bahrain,Middle East,0.0,
SUP-000265,"Lee, Olson and Owens",Azerbaijan,Asia,18.6,Low
SUP-000266,"Ross, Lee and Adams",Malta,Middle East,0.0,
SUP-000267,"Harper, Goodwin and Horne",Northern Mariana Islands,Asia,69.5,High
SUP-000268,"Cooper, Lewis and Dudley",Russian Federation,Africa,3.5,Low
SUP-000269,Fowler PLC,Mauritania,Middle East,99.8,High
SUP-000270,Roman-Cain,Northern Mariana Islands,Americas,3.2,Low
SUP-000271,Peterson-Melton,India,Asia,1.4,Low
SUP-000272,Nelson-Wolfe,Colombia,Asia,2.7,Low
SUP-000273,"Coleman, Rogers and Olson",Korea,Middle East,0.0,
SUP-000274,"Becker, Ellison and Moran",Zambia,Americas,99.9,High
SUP-000275,Vaughn-Bell,Cote d'Ivoire,Americas,66.0,Medium
SUP-000276,Obrien-Tanner,Tuvalu,Africa,3.8,Low
SUP-000277,"Smith, Graham and Horton",Andorra,Americas,0.0,
SUP-000278,Wilson-Scott,Belize,Americas,0.7,Low
SUP-000279,"Chavez, Colon and Burns",United States Minor Outlying Islands,Americas,97.0,High
SUP-000280,Logan-Kelley,Morocco,Europe,97.9,High
SUP-000281,Thomas-Maldonado,Kenya,Africa,0.2,Low
SUP-000282,Lee LLC,American Samoa,Asia,0.0,
SUP-000283,Martinez-Simmons,Bouvet Island (Bouvetoya),Middle East,9.9,Low
SUP-000284,Gutierrez-Scott,Egypt,Asia,5.8,Low
SUP-000285,Smith Group,Liberia,Africa,11.5,Low
SUP-000286,Andersen and Sons,Turkmenistan,Middle East,0.5,Low
SUP-000287,Parker-Jacobs,Greenland,Africa,0.0,
SUP-000288,"Freeman, Williams and Moore",Finland,Americas,0.3,Low
SUP-000289,"Hancock, Morales and Strong",Grenada,Middle East,0.0,
SUP-000290,Watkins-Fuller,Ukraine,Americas,2.6,Low
SUP-000291,Reid Inc,Georgia,Asia,94.3,High
SUP-000292,Reed-Cole,Tunisia,Asia,0.1,Low
SUP-000293,"Thomas, Pitts and Walker",Saudi Arabia,Middle East,0.2,Low
SUP-000294,"Miranda, Gray and Elliott",Israel,Middle East,99.9,High
SUP-000295,Johnson-Wells,Haiti,Africa,1.4,Low
SUP-000296,Mcconnell-Graham,Jersey,Africa,2.9,Low
SUP-000297,Brown-Wheeler,Sri Lanka,Americas,14.8,Low
SUP-000298,"Cooper, Hernandez and Hicks",Myanmar,Middle East,0.1,Low
SUP-000299,Greer LLC,Monaco,Asia,7.8,Low
SUP-000300,Davis LLC,Serbia,Africa,3.3,Low
SUP-000301,Rogers-Perez,Papua New Guinea,Africa,8.0,Low
SUP-000302,Ortiz Group,United States Minor Outlying Islands,Asia,3.7,Low
SUP-000303,Delacruz-Bond,Peru,Africa,0.1,Low
SUP-000304,Mccarthy LLC,Dominican Republic,Americas,21.8,Low
SUP-000305,Hester-Sanchez,Martinique,Middle East,0.0,
SUP-000306,Clarke-Wolf,Luxembourg,Asia,0.1,Low
SUP-000307,Kelley-Gutierrez,Antigua and Barbuda,Middle East,69.9,High
SUP-000308,Fletcher LLC,Montenegro,Africa,11.3,Low
SUP-000309,Robinson-Parks,Austria,Africa,3.1,Low
SUP-000310,Terrell and Sons,Costa Rica,Asia,0.0,
SUP-000311,Martin-Sanchez,Togo,Americas,24.8,Low
SUP-000312,"Wilson, Estrada and Ward",Austria,Europe,0.0,
SUP-000313,Jackson PLC,Nigeria,Asia,2.9,Low
SUP-000314,"Prince, Williams and Johnson",Suriname,Europe,0.2,Low
SUP-000315,Harding Group,Qatar,Europe,24.0,Low
SUP-000316,Harrington-Johnson,Tajikistan,Americas,21.7,Low
SUP-000317,Morgan PLC,Turkmenistan,Europe,0.1,Low
SUP-000318,Marshall Group,Uganda,Europe,19.1,Low
SUP-000319,"Anderson, Nguyen and Johnson",Honduras,Americas,55.1,Medium
SUP-000320,Ramirez Inc,Equatorial Guinea,Europe,0.1,Low
SUP-000321,"Hernandez, Davis and Cox",Myanmar,Europe,1.5,Low
SUP-000322,"Brown, May and Davis",Pakistan,Europe,2.5,Low
SUP-000323,Gates and Sons,Latvia,Asia,0.1,Low
SUP-000324,"Lawrence, Nelson and Williams",Saint Helena,Asia,0.2,Low
SUP-000325,"Harris, Gregory and Pittman",Suriname,Asia,44.2,Medium
SUP-000326,"Pearson, Garcia and Davis",Portugal,Americas,0.2,Low
SUP-000327,"Edwards, Kane and Jones",Hong Kong,Africa,0.1,Low
SUP-000328,Wong-Vang,Monaco,Europe,6.1,Low
SUP-000329,Wilson and Sons,Montenegro,Europe,0.3,Low
SUP-000330,Cardenas-Lee,Macao,Americas,9.9,Low
SUP-000331,King Inc,Mauritania,Europe,1.1,Low
SUP-000332,Walker-Odonnell,Philippines,Asia,6.4,Low
SUP-000333,"Estes, White and Reeves",Christmas Island,Africa,18.0,Low
SUP-000334,Walker-Wilson,Guam,Middle East,0.2,Low
SUP-000335,Leon-Flynn,Angola,Europe,0.1,Low
SUP-000336,Long-Ramsey,Saint Kitts and Nevis,Asia,4.8,Low
SUP-000337,"Thompson, Vega and Jefferson",Armenia,Middle East,97.6,High
SUP-000338,Hernandez-Walker,Lithuania,Africa,0.5,Low
SUP-000339,Coleman PLC,Saint Barthelemy,Middle East,50.2,Medium
SUP-000340,Fowler-Haney,Guam,Asia,0.0,
SUP-000341,Short-Morris,Cyprus,Middle East,21.7,Low
SUP-000342,Hawkins Inc,Maldives,Americas,0.1,Low
SUP-000343,Davis-Miller,Botswana,Middle East,0.0,
SUP-000344,Houston Inc,Reunion,Europe,0.0,
SUP-000345,Ali Inc,Equatorial Guinea,Europe,98.5,High
SUP-000346,Martinez-Fox,French Guiana,Americas,62.2,Medium
SUP-000347,Taylor Group,Mayotte,Asia,86.4,High
SUP-000348,Davis-Clark,Maldives,Europe,100.0,High
SUP-000349,Leonard-Lane,French Guiana,Africa,0.1,Low
SUP-000350,"Moreno, Murphy and Hayes",Liberia,Europe,0.0,
SUP-000351,Torres-Hughes,Tajikistan,Europe,28.9,Low
SUP-000352,Williams-Trujillo,Montenegro,Asia,96.5,High
SUP-000353,Mayo-Miller,Ukraine,Middle East,0.9,Low
SUP-000354,Cooper PLC,Kyrgyz Republic,Europe,0.9,Low
SUP-000355,Wilson-Anderson,Korea,Americas,98.6,High
SUP-000356,Lozano PLC,Botswana,Middle East,0.1,Low
SUP-000357,"Beck, Baker and Ortiz",Puerto Rico,Africa,42.3,Medium
SUP-000358,Williams-Cook,Swaziland,Asia,9.2,Low
SUP-000359,Mitchell-Jones,Benin,Africa,1.6,Low
SUP-000360,"Myers, Wolfe and Martinez",Thailand,Middle East,2.5,Low
SUP-000361,Payne and Sons,Sudan,Middle East,1.9,Low
SUP-000362,Arnold and Sons,Kenya,Middle East,2.0,Low
SUP-000363,Holden Ltd,Antarctica (the territory South of 60 deg S),Africa,0.2,Low
SUP-000364,"Savage, Woods and Nichols",Burundi,Middle East,44.1,Medium
SUP-000365,"Salinas, Hernandez and Vargas",Sao Tome and Principe,Africa,44.7,Medium
SUP-000366,"Murphy, Larsen and Matthews",Lesotho,Middle East,0.0,
SUP-000367,Reed LLC,Germany,Americas,29.4,Low
SUP-000368,Clayton Inc,Moldova,Middle East,0.8,Low
SUP-000369,"Jimenez, Bell and Jones",Congo,Africa,1.6,Low
SUP-000370,"Jones, Thompson and Greer",France,Europe,0.5,Low
SUP-000371,Collins-Boyle,Malawi,Middle East,0.1,Low
SUP-000372,"Ross, Cox and Meyer",Armenia,Europe,44.7,Medium
SUP-000373,"Briggs, Jones and Dominguez",Greece,Americas,2.3,Low
SUP-000374,Short-Leonard,Montenegro,Asia,99.9,High
SUP-000375,Montgomery-Espinoza,Estonia,Americas,93.0,High
SUP-000376,Kerr PLC,Jersey,Middle East,76.1,High
SUP-000377,Wilson-Haynes,Greenland,Europe,11.6,Low
SUP-000378,"Erickson, Ortiz and Fox",French Guiana,Europe,0.1,Low
SUP-000379,Garcia-Powell,Nigeria,Africa,0.0,
SUP-000380,"Phillips, Bates and Hardin",Brunei Darussalam,Europe,4.0,Low
SUP-000381,"Alvarez, Bennett and Johnson",Aruba,Africa,0.3,Low
SUP-000382,"Mendez, Alexander and Valdez",Vietnam,Asia,5.0,Low
SUP-000383,Martinez-Grant,Tonga,Middle East,25.7,Low
SUP-000384,White LLC,Senegal,Africa,2.0,Low
SUP-000385,"Harrison, Smith and White",Lesotho,Asia,5.4,Low
SUP-000386,Williams-Butler,France,Europe,99.5,High
SUP-000387,Blair-Cuevas,Saint Kitts and Nevis,Europe,0.0,
SUP-000388,"Chen, Hatfield and Johnson",Cameroon,Asia,0.3,Low
SUP-000389,Gordon-Taylor,British Indian Ocean Territory (Chagos Archipelago),Europe,0.1,Low
SUP-000390,"Nolan, Fleming and Ingram",Costa Rica,Asia,9.0,Low
SUP-000391,Thompson-Ewing,Sierra Leone,Africa,0.1,Low
SUP-000392,Torres Inc,Mozambique,Africa,0.0,
SUP-000393,Mccarthy-Jensen,Isle of Man,Asia,1.2,Low
